ClubID,CourseID,CourseName,NumHoles,MeasureMeters,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8,Par9,Par10,Par11,Par12,Par13,Par14,Par15,Par16,Par17,Par18,Hcp1,Hcp2,Hcp3,Hcp4,Hcp5,Hcp6,Hcp7,Hcp8,Hcp9,Hcp10,Hcp11,Hcp12,Hcp13,Hcp14,Hcp15,Hcp16,Hcp17,Hcp18,ParW1,ParW2,ParW3,ParW4,ParW5,ParW6,ParW7,ParW8,ParW9,ParW10,ParW11,ParW12,ParW13,ParW14,ParW15,ParW16,ParW17,ParW18,HcpW1,HcpW2,HcpW3,HcpW4,HcpW5,HcpW6,HcpW7,HcpW8,HcpW9,HcpW10,HcpW11,HcpW12,HcpW13,HcpW14,HcpW15,HcpW16,HcpW17,HcpW18,MatchIndex1,MatchIndex2,MatchIndex3,MatchIndex4,MatchIndex5,MatchIndex6,MatchIndex7,MatchIndex8,MatchIndex9,MatchIndex10,MatchIndex11,MatchIndex12,MatchIndex13,MatchIndex14,MatchIndex15,MatchIndex16,MatchIndex17,MatchIndex18,SplitIndex1,SplitIndex2,SplitIndex3,SplitIndex4,SplitIndex5,SplitIndex6,SplitIndex7,SplitIndex8,SplitIndex9,SplitIndex10,SplitIndex11,SplitIndex12,SplitIndex13,SplitIndex14,SplitIndex15,SplitIndex16,SplitIndex17,SplitIndex18,TimestampUpdated
57,571,Pay & Play,9,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,15,9,13,11,5,17,3,1,8,16,10,14,12,6,18,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,15,9,13,11,5,17,3,1,8,16,10,14,12,6,18,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
57,572,18 Huller,18,1,4,4,3,4,4,5,3,5,4,3,4,4,4,4,3,4,5,4,9,7,15,13,11,3,17,1,5,16,14,10,8,4,18,12,2,6,4,4,3,4,4,5,3,5,4,3,4,4,4,4,3,4,5,4,9,7,15,13,11,3,17,1,5,16,14,10,8,4,18,12,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
59,591,Vest,9,1,3,4,3,3,3,4,4,3,4,3,4,3,3,3,4,4,3,4,13,7,15,9,11,3,1,17,5,14,8,16,10,12,4,2,18,6,3,4,3,3,3,4,4,3,4,3,4,3,3,3,4,4,3,4,13,7,15,9,11,3,1,17,5,14,8,16,10,12,4,2,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
59,592,Nord,9,1,4,5,3,4,4,4,5,3,4,4,5,3,4,4,4,5,3,4,13,1,17,7,11,5,3,15,9,14,2,18,8,12,6,4,16,10,4,5,3,4,4,4,5,3,4,4,5,3,4,4,4,5,3,4,13,1,17,7,11,5,3,15,9,14,2,18,8,12,6,4,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
59,593,Syd,9,1,5,4,3,5,4,3,4,4,4,5,4,3,5,4,3,4,4,4,3,11,15,1,7,17,5,13,9,4,12,16,2,8,18,6,14,10,5,4,3,5,4,3,4,4,4,5,4,3,5,4,3,4,4,4,3,11,15,1,7,17,5,13,9,4,12,16,2,8,18,6,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
59,594,Øst,9,1,3,4,4,4,3,4,5,4,5,3,4,4,4,3,4,5,4,5,17,11,7,1,13,9,5,15,3,18,12,8,2,14,10,6,16,4,3,4,4,4,3,4,5,4,5,3,4,4,4,3,4,5,4,5,17,11,7,1,13,9,5,15,3,18,12,8,2,14,10,6,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
59,595,Nord + Vest,18,1,4,5,3,4,4,4,5,3,4,3,4,3,3,3,4,4,3,4,13,1,17,7,11,5,3,15,9,14,8,16,10,12,4,2,18,6,4,5,3,4,4,4,5,3,4,3,4,3,3,3,4,4,3,4,13,1,17,7,11,5,3,15,9,14,8,16,10,12,4,2,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
59,596,Nord + Syd,18,1,4,5,3,4,4,4,5,3,4,5,4,3,5,4,3,4,4,4,13,1,17,7,11,5,3,15,9,4,12,16,2,8,18,6,14,10,4,5,3,4,4,4,5,3,4,5,4,3,5,4,3,4,4,4,13,1,17,7,11,5,3,15,9,4,12,16,2,8,18,6,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
59,597,Syd + Vest,18,1,5,4,3,5,4,3,4,4,4,3,4,3,3,3,4,4,3,4,3,11,15,1,7,17,5,13,9,14,8,16,10,12,4,2,18,6,5,4,3,5,4,3,4,4,4,3,4,3,3,3,4,4,3,4,3,11,15,1,7,17,5,13,9,14,8,16,10,12,4,2,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
59,598,Syd + Øst,18,1,5,4,3,5,4,3,4,4,4,3,4,4,4,3,4,5,4,5,3,11,15,1,7,17,5,13,9,18,12,8,2,14,10,6,16,4,5,4,3,5,4,3,4,4,4,3,4,4,4,3,4,5,4,5,3,11,15,1,7,17,5,13,9,18,12,8,2,14,10,6,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
59,599,Øst + Nord,18,1,3,4,4,4,3,4,5,4,5,4,5,3,4,4,4,5,3,4,17,11,7,1,13,9,5,15,3,14,2,18,8,12,6,4,16,10,3,4,4,4,3,4,5,4,5,4,5,3,4,4,4,5,3,4,17,11,7,1,13,9,5,15,3,14,2,18,8,12,6,4,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
60,601,Pay & Play,6,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,16,7,4,10,13,2,17,8,5,11,14,3,18,9,6,12,15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,16,7,4,10,13,2,17,8,5,11,14,3,18,9,6,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
60,602,18 Huller,18,1,5,4,4,4,4,3,5,3,4,4,4,3,4,5,4,3,5,4,7,11,5,1,13,17,9,15,3,8,2,16,12,6,14,18,10,4,5,4,4,4,4,3,5,3,4,4,4,3,4,5,4,3,5,4,7,11,5,1,13,17,9,15,3,8,2,16,12,6,14,18,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
61,611,18 Huller,18,1,5,3,3,4,5,4,4,4,3,3,4,4,4,4,5,5,4,3,9,11,17,7,1,13,3,5,15,18,8,4,16,12,6,2,10,14,5,3,3,4,5,4,4,4,3,3,4,4,4,4,5,5,4,3,9,11,17,7,1,13,3,5,15,18,8,4,16,12,6,2,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724653981687
